"id","code","name","department_code"
"5","05","ANTIOQUIA","ANT"
"8","08","ATLANTICO","ATL"
"11","11","BOGOTA D. C.","DC"
"13","13","BOLIVAR","BOL"
"15","15","BOYACA","BOY"
"17","17","CALDAS","CAL"
"18","18","CAQUETA","CAQ"
"19","19","CAUCA","CAU"
"20","20","CESAR","CES"
"23","23","CORDOBA","COR"
"25","25","CUNDINAMARCA","CUN"
"27","27","CHOCO","CHO"
"41","41","HUILA","HUI"
"44","44","LA GUAJIRA","LAG"
"47","47","MAGDALENA","MAG"
"50","50","META","MET"
"52","52","NARINO","NAR"
"54","54","NORTE DE SANTANDER","NSA"
"63","63","QUINDIO","QUI"
"66","66","RISARALDA","RIS"
"68","68","SANTANDER","SAN"
"70","70","SUCRE","SUC"
"73","73","TOLIMA","TOL"
"76","76","VALLE DEL CAUCA","VAC"
"81","81","ARAUCA","ARA"
"85","85","CASANARE","CAS"
"86","86","PUTUMAYO","PUT"
"88","88","ARCHIP. SAN ANDRES PROVID","SAP"
"91","91","AMAZONAS","AMA"
"94","94","GUAINIA","GUA"
"95","95","GUAVIARE","GUV"
"97","97","VAUPES","VAU"
"99","99","VICHADA","VID"
