id,code_dian
base.af,013
base.al,017
base.dz,059
base.as,690
base.ad,037
base.ao,040
base.ai,041
base.ag,043
base.ar,063
base.am,026
base.aw,027
base.au,069
base.at,072
base.az,074
base.bs,077
base.bh,080
base.bd,081
base.bb,083
base.by,091
base.be,087
base.bz,088
base.bj,229
base.bm,090
base.bt,119
base.bo,097
base.ba,029
base.bw,101
base.br,105
base.io,787
base.bn,108
base.bg,111
base.bf,031
base.bi,115
base.kh,141
base.cm,145
base.ca,149
base.cv,127
base.ky,137
base.cf,640
base.td,203
base.cl,211
base.cn,215
base.cx,511
base.cc,165
base.co,169
base.km,173
base.cg,177
base.ck,183
base.cr,196
base.hr,198
base.cu,199
base.cy,221
base.cz,644
base.dk,232
base.dj,783
base.dm,235
base.do,647
base.tp,788
base.ec,239
base.eg,240
base.sv,242
base.gq,331
base.er,243
base.ee,251
base.et,253
base.fo,259
base.fj,870
base.fi,271
base.fr,275
base.gf,325
base.ga,281
base.gm,285
base.ge,287
base.de,023
base.gh,289
base.gi,293
base.gr,301
base.gl,305
base.gd,297
base.gp,309
base.gu,313
base.gt,317
base.gn,329
base.gw,334
base.gy,337
base.ht,341
base.hn,345
base.hk,351
base.hu,355
base.is,379
base.in,361
base.id,365
base.ir,372
base.iq,369
base.ie,375
base.il,383
base.it,386
base.jm,391
base.jp,399
base.jo,403
base.kz,406
base.ke,410
base.ki,411
base.kw,413
base.kg,412
base.la,420
base.lv,429
base.lb,431
base.ls,426
base.lr,434
base.ly,438
base.li,440
base.lt,443
base.lu,445
base.mo,447
base.mk,448
base.mg,450
base.mw,458
base.my,455
base.mv,461
base.ml,464
base.mt,467
base.mh,472
base.mq,477
base.mr,488
base.mu,485
base.mx,493
base.fm,494
base.md,496
base.mc,498
base.mn,497
base.ms,501
base.ma,474
base.mz,505
base.mm,093
base.na,507
base.nr,508
base.np,517
base.nl,573
base.an,047
base.nc,542
base.nz,548
base.ni,521
base.ne,525
base.ng,528
base.nu,531
base.nf,535
base.mp,469
base.kp,187
base.no,538
base.om,556
base.pk,576
base.pw,578
base.ps,897
base.pa,580
base.pg,545
base.py,586
base.pe,589
base.ph,267
base.pn,593
base.pl,603
base.pf,599
base.pt,607
base.pr,611
base.qa,618
base.re,660
base.ro,670
base.ru,676
base.rw,675
base.sh,710
base.lc,715
base.pm,700
base.st,720
base.vc,705
base.ws,687
base.sm,697
base.sa,053
base.sn,728
base.sc,731
base.sl,735
base.sg,741
base.sk,246
base.si,247
base.so,748
base.za,756
base.kr,190
base.es,245
base.lk,750
base.sd,759
base.sr,770
base.se,764
base.ch,767
base.sy,744
base.tw,218
base.tj,774
base.tz,780
base.th,776
base.tg,800
base.tk,805
base.to,810
base.tt,815
base.tn,820
base.tr,827
base.tm,825
base.tc,823
base.tv,828
base.ug,833
base.ua,830
base.ae,244
base.uk,628
base.us,249
base.uy,845
base.um,566
base.uz,847
base.vu,551
base.ve,850
base.vn,855
base.vg,863
base.vi,866
base.wf,875
base.eh,685
base.ye,880
base.yu,885
base.zr,888
base.zm,890
base.zw,665
